Season,Player Name,Conference,Date,Team,Pos,Hight,Weight,Age,PreDraftTeam,DraftYear,YOS
2015-2016,Stephen Curry,West,"Nov 23, 2015","
Golden State Warriors
",G,6-3,190,27,Davidson,2009,6
2015-2016,Nicolas Batum,East,"Nov 16, 2015","
Charlotte Hornets
",F,6-8,200,27,Le Mans Sarthe Basket (France),2008,7
2015-2016,DeMarcus Cousins,West,"Nov 16, 2015","
Sacramento Kings
",C,6-11,270,25,Kentucky,2010,5
2015-2016,Andre Drummond,East,"Nov 9, 2015","
Detroit Pistons
",C,6-11,279,22,Connecticut,2012,3
2015-2016,James Harden,West,"Nov 9, 2015","
Houston Rockets
",SG,6-5,220,26,Arizona State,2009,6
2015-2016,Andre Drummond,East,"Nov 2, 2015","
Detroit Pistons
",C,6-11,279,22,Connecticut,2012,3
2015-2016,Stephen Curry,West,"Nov 2, 2015","
Golden State Warriors
",G,6-3,190,27,Davidson,2009,6
2014-2015,Isaiah Thomas,East,"Apr 13, 2015","
Boston Celtics
",PG,5-9,185,26,Washington,2011,3
2014-2015,Tim Duncan,West,"Apr 13, 2015","
San Antonio Spurs
",FC,6-11,250,38,Wake Forest,1997,17
2014-2015,Brook Lopez,East,"Apr 6, 2015","
Brooklyn Nets
",C,7-0,270,26,Stanford,2008,6
2014-2015,James Harden,West,"Apr 6, 2015","
Houston Rockets
",SG,6-5,220,25,Arizona State,2009,5
2014-2015,Brook Lopez,East,"Mar 30, 2015","
Brooklyn Nets
",C,7-0,270,26,Stanford,2008,6
2014-2015,Stephen Curry,West,"Mar 30, 2015","
Golden State Warriors
",G,6-3,190,26,Davidson,2009,5
2014-2015,Dwyane Wade,East,"Mar 23, 2015","
Miami Heat
",SG,6-4,220,33,Marquette,2003,11
2014-2015,Chris Paul,West,"Mar 23, 2015","
Los Angeles Clippers
",PG,6-0,175,29,Wake Forest,2005,9
2014-2015,Kyrie Irving,East,"Mar 16, 2015","
Cleveland Cavaliers
",G,6-2,195,22,Duke,2011,3
2014-2015,Anthony Davis,West,"Mar 16, 2015","
New Orleans Pelicans
",PF,6-10,253,21,Kentucky,2012,2
2014-2015,Mo Williams,East,"Mar 9, 2015","
Charlotte Hornets
",G,6-1,198,32,Alabama,2003,11
2014-2015,Russell Westbrook,West,"Mar 9, 2015","
Oklahoma City Thunder
",G,6-3,200,26,UCLA,2008,6
2014-2015,Isaiah Thomas,East,"Mar 2, 2015","
Boston Celtics
",PG,5-9,185,26,Washington,2011,3
2014-2015,Damian Lillard,West,"Mar 2, 2015","
Portland Trail Blazers
",G,6-3,195,24,Weber State,2012,2
2014-2015,Giannis Antetokounmpo,East,"Feb 9, 2015","
Milwaukee Bucks
",F,6-11,242,20,Filathlitikos Div II Greece (Greece),2013,1
2014-2015,Russell Westbrook,West,"Feb 9, 2015","
Oklahoma City Thunder
",G,6-3,200,26,UCLA,2008,6
2014-2015,Kyrie Irving,East,"Feb 2, 2015","
Cleveland Cavaliers
",G,6-2,195,22,Duke,2011,3
2014-2015,Zach Randolph,West,"Feb 2, 2015","
Memphis Grizzlies
",PF,6-9,260,33,Michigan State,2001,13
2014-2015,LeBron James,East,"Jan 26, 2015","
Cleveland Cavaliers
",F,6-8,250,30,St. Vincent St. Mary High School (Ohio),2003,11
2014-2015,Klay Thompson,West,"Jan 26, 2015","
Golden State Warriors
",G,6-6,215,25,Washington State,2011,3
2014-2015,Al Horford,East,"Jan 19, 2015","
Atlanta Hawks
",FC,6-10,245,28,Florida,2007,7
2014-2015,Mo Williams,West,"Jan 19, 2015","
Minnesota Timberwolves
",G,6-1,198,32,Alabama,2003,11
2014-2015,Kemba Walker,East,"Jan 12, 2015","
Charlotte Hornets
",G,6-0,184,24,Connecticut,2011,3
2014-2015,Klay Thompson,West,"Jan 12, 2015","
Golden State Warriors
",G,6-6,215,25,Washington State,2011,3
2014-2015,Jeff Teague,East,"Jan 5, 2015","
Atlanta Hawks
",PG,6-3,195,26,Wake Forest,2009,5
2014-2015,Kevin Durant,West,"Jan 5, 2015","
Oklahoma City Thunder
",SF,6-10,240,26,Texas,2007,7
2014-2015,Jimmy Butler,East,"Dec 29, 2014","
Chicago Bulls
",GF,6-8,232,25,Marquette,2011,3
2014-2015,James Harden,West,"Dec 29, 2014","
Houston Rockets
",SG,6-5,220,25,Arizona State,2009,5
2014-2015,Al Horford,East,"Dec 22, 2014","
Atlanta Hawks
",FC,6-10,245,28,Florida,2007,7
2014-2015,LaMarcus Aldridge,West,"Dec 22, 2014","
Portland Trail Blazers
",FC,6-11,265,29,Texas,2006,8
2014-2015,John Wall,East,"Dec 15, 2014","
Washington Wizards
",PG,6-4,210,24,Kentucky,2010,4
2014-2015,James Harden,West,"Dec 15, 2014","
Houston Rockets
",SG,6-5,220,25,Arizona State,2009,5
2014-2015,Kyle Lowry,East,"Dec 8, 2014","
Toronto Raptors
",PG,6-1,196,28,Villanova,2006,8
2014-2015,LaMarcus Aldridge,West,"Dec 8, 2014","
Portland Trail Blazers
",FC,6-11,265,29,Texas,2006,8
2014-2015,LeBron James,East,"Dec 1, 2014","
Cleveland Cavaliers
",F,6-8,250,30,St. Vincent St. Mary High School (Ohio),2003,11
2014-2015,Blake Griffin,West,"Dec 1, 2014","
Los Angeles Clippers
",PF,6-10,250,25,Oklahoma,2009,5
2014-2015,Lou Williams,East,"Nov 24, 2014","
Toronto Raptors
",G,6-1,175,28,South Gwinnett High School (Georgia),2005,9
2014-2015,DeMarcus Cousins,West,"Nov 24, 2014","
Sacramento Kings
",C,6-11,270,24,Kentucky,2010,4
2014-2015,LeBron James,East,"Nov 17, 2014","
Cleveland Cavaliers
",F,6-8,250,30,St. Vincent St. Mary High School (Ohio),2003,11
2014-2015,Damian Lillard,West,"Nov 17, 2014","
Portland Trail Blazers
",G,6-3,195,24,Weber State,2012,2
2014-2015,Deron Williams,East,"Nov 10, 2014","
Brooklyn Nets
",PG,6-3,200,30,Illinois,2005,9
2014-2015,Stephen Curry,West,"Nov 10, 2014","
Golden State Warriors
",G,6-3,190,26,Davidson,2009,5
2014-2015,Chris Bosh,East,"Nov 3, 2014","
Miami Heat
",PF,6-11,235,30,Georgia Tech,2003,11
2014-2015,Klay Thompson,West,"Nov 3, 2014","
Golden State Warriors
",G,6-6,215,25,Washington State,2011,3
2013-2014,Jeff Teague,East,"Apr 14, 2014","
Atlanta Hawks
",PG,6-3,195,25,Wake Forest,2009,4
2013-2014,Monta Ellis,West,"Apr 14, 2014","
Dallas Mavericks
",G,6-3,185,28,Lanier High School (Mississippi),2005,8
2013-2014,Al Jefferson,East,"Apr 7, 2014","
Charlotte Bobcats
",FC,6-10,289,29,Prentiss High School (Mississippi),2004,9
2013-2014,Dirk Nowitzki,West,"Apr 7, 2014","
Dallas Mavericks
",PF,7-0,245,35,DJK Wurzburg (Germany),1998,15
2013-2014,Nikola Vucevic,East,"Mar 31, 2014","
Orlando Magic
",PF,7-0,260,23,USC,2011,2
2013-2014,Tim Duncan,West,"Mar 31, 2014","
San Antonio Spurs
",FC,6-11,250,37,Wake Forest,1997,16
2013-2014,Joe Johnson,East,"Mar 24, 2014","
Brooklyn Nets
",SG,6-7,240,32,Arkansas,2001,12
2013-2014,Kevin Durant,West,"Mar 24, 2014","
Oklahoma City Thunder
",SF,6-10,240,25,Texas,2007,6
2013-2014,Al Jefferson,East,"Mar 17, 2014","
Charlotte Bobcats
",FC,6-10,289,29,Prentiss High School (Mississippi),2004,9
2013-2014,Blake Griffin,West,"Mar 17, 2014","
Los Angeles Clippers
",PF,6-10,250,24,Oklahoma,2009,4
2013-2014,Carmelo Anthony,East,"Mar 10, 2014","
New York Knicks
",F,6-8,240,29,Syracuse,2003,10
2013-2014,James Harden,West,"Mar 10, 2014","
Houston Rockets
",SG,6-5,220,24,Arizona State,2009,4
2013-2014,John Wall,East,"Mar 3, 2014","
Washington Wizards
",PG,6-4,210,23,Kentucky,2010,3
2013-2014,James Harden,West,"Mar 3, 2014","
Houston Rockets
",SG,6-5,220,24,Arizona State,2009,4
2013-2014,Kemba Walker,East,"Feb 24, 2014","
Charlotte Bobcats
",G,6-0,184,23,Connecticut,2011,2
2013-2014,Kevin Love,West,"Feb 24, 2014","
Minnesota Timberwolves
",FC,6-8,247,25,UCLA,2008,5
2013-2014,Jared Sullinger,East,"Feb 10, 2014","
Boston Celtics
",C,6-9,260,21,Ohio State,2012,1
2013-2014,Kevin Durant,West,"Feb 10, 2014","
Oklahoma City Thunder
",SF,6-10,240,25,Texas,2007,6
2013-2014,Kyle Lowry,East,"Feb 3, 2014","
Toronto Raptors
",PG,6-1,196,27,Villanova,2006,7
2013-2014,Goran Dragic,West,"Feb 3, 2014","
Phoenix Suns
",G,6-3,190,27,Union Olimpija (Slovenia),2008,5
2013-2014,Paul Millsap,East,"Jan 27, 2014","
Atlanta Hawks
",FC,6-7,257,29,Louisiana Tech,2006,7
2013-2014,Kevin Durant,West,"Jan 27, 2014","
Oklahoma City Thunder
",SF,6-10,240,25,Texas,2007,6
2013-2014,Paul George,East,"Jan 20, 2014","
Indiana Pacers
",GF,6-9,220,23,Fresno State,2010,3
2013-2014,Kevin Durant,West,"Jan 20, 2014","
Oklahoma City Thunder
",SF,6-10,240,25,Texas,2007,6
2013-2014,Carmelo Anthony,East,"Jan 13, 2014","
New York Knicks
",F,6-8,240,29,Syracuse,2003,10
2013-2014,DeMarcus Cousins,West,"Jan 13, 2014","
Sacramento Kings
",C,6-11,270,23,Kentucky,2010,3
2013-2014,Thaddeus Young,East,"Jan 6, 2014","
Philadelphia Sixers
",F,6-8,235,25,Georgia Tech,2007,6
2013-2014,David Lee,West,"Jan 6, 2014","
Golden State Warriors
",FC,6-9,245,30,Florida,2005,8
2013-2014,Chris Bosh,East,"Dec 30, 2013","
Miami Heat
",PF,6-11,235,29,Georgia Tech,2003,10
2013-2014,Kevin Durant,West,"Dec 30, 2013","
Oklahoma City Thunder
",SF,6-10,240,25,Texas,2007,6
2013-2014,Dwyane Wade,East,"Dec 23, 2013","
Miami Heat
",SG,6-4,220,32,Marquette,2003,10
2013-2014,Blake Griffin,West,"Dec 23, 2013","
Los Angeles Clippers
",PF,6-10,250,24,Oklahoma,2009,4
2013-2014,Kyrie Irving,East,"Dec 16, 2013","
Cleveland Cavaliers
",G,6-2,195,21,Duke,2011,2
2013-2014,LaMarcus Aldridge,West,"Dec 16, 2013","
Portland Trail Blazers
",FC,6-11,265,28,Texas,2006,7
2013-2014,Jordan Crawford,East,"Dec 9, 2013","
Boston Celtics
",G,6-5,195,25,Xavier,2010,3
2013-2014,LaMarcus Aldridge,West,"Dec 9, 2013","
Portland Trail Blazers
",FC,6-11,265,28,Texas,2006,7
2013-2014,LeBron James,East,"Dec 2, 2013","
Miami Heat
",F,6-8,250,29,St. Vincent St. Mary High School (Ohio),2003,10
2013-2014,Kevin Durant,West,"Dec 2, 2013","
Oklahoma City Thunder
",SF,6-10,240,25,Texas,2007,6
2013-2014,John Wall,East,"Nov 25, 2013","
Washington Wizards
",PG,6-4,210,23,Kentucky,2010,3
2013-2014,LaMarcus Aldridge,West,"Nov 25, 2013","
Portland Trail Blazers
",FC,6-11,265,28,Texas,2006,7
2013-2014,LeBron James,East,"Nov 18, 2013","
Miami Heat
",F,6-8,250,29,St. Vincent St. Mary High School (Ohio),2003,10
2013-2014,Blake Griffin,West,"Nov 18, 2013","
Los Angeles Clippers
",PF,6-10,250,24,Oklahoma,2009,4
2013-2014,Paul George,East,"Nov 11, 2013","
Indiana Pacers
",GF,6-9,220,23,Fresno State,2010,3
2013-2014,Markieff Morris,West,"Nov 11, 2013","
Phoenix Suns
",PF,6-10,245,24,Kansas,2011,2
2013-2014,Michael Carter-Williams,East,"Nov 4, 2013","
Philadelphia Sixers
",PG,6-6,195,22,Syracuse,2013,0
2013-2014,Kevin Love,West,"Nov 4, 2013","
Minnesota Timberwolves
",FC,6-8,247,25,UCLA,2008,5
2012-2013,Carmelo Anthony,East,"Apr 15, 2013","
New York Knicks
",F,6-8,240,28,Syracuse,2003,9
2012-2013,Kobe Bryant,West,"Apr 15, 2013","
Los Angeles Lakers
",SG,6-6,212,34,Lower Merion High School (Pennsylvania),1996,16
2012-2013,Carmelo Anthony,East,"Apr 8, 2013","
New York Knicks
",F,6-8,240,28,Syracuse,2003,9
2012-2013,Nikola Pekovic,West,"Apr 8, 2013","
Minnesota Timberwolves
",PF,6-11,307,27,Panathinaikos (Greece),2008,2
2012-2013,J.R. Smith,East,"Apr 1, 2013","
New York Knicks
",SG,6-6,225,27,Saint Benedict's Preparatory School (New Jersey),2004,8
2012-2013,Al Jefferson,West,"Apr 1, 2013","
Utah Jazz
",FC,6-10,289,28,Prentiss High School (Mississippi),2004,8
2012-2013,LeBron James,East,"Mar 25, 2013","
Miami Heat
",F,6-8,250,28,St. Vincent St. Mary High School (Ohio),2003,9
2012-2013,James Harden,West,"Mar 25, 2013","
Houston Rockets
",SG,6-5,220,23,Arizona State,2009,3
2012-2013,John Wall,East,"Mar 18, 2013","
Washington Wizards
",PG,6-4,210,22,Kentucky,2010,2
2012-2013,LaMarcus Aldridge,West,"Mar 18, 2013","
Portland Trail Blazers
",FC,6-11,265,27,Texas,2006,6
2012-2013,Dwyane Wade,East,"Mar 11, 2013","
Miami Heat
",SG,6-4,220,31,Marquette,2003,9
2012-2013,Kobe Bryant,West,"Mar 11, 2013","
Los Angeles Lakers
",SG,6-6,212,34,Lower Merion High School (Pennsylvania),1996,16
2012-2013,Monta Ellis,East,"Mar 4, 2013","
Milwaukee Bucks
",G,6-3,185,27,Lanier High School (Mississippi),2005,7
2012-2013,Ty Lawson,West,"Mar 4, 2013","
Denver Nuggets
",PG,5-11,195,25,North Carolina,2009,3
2012-2013,LeBron James,East,"Feb 25, 2013","
Miami Heat
",F,6-8,250,28,St. Vincent St. Mary High School (Ohio),2003,9
2012-2013,Kobe Bryant,West,"Feb 25, 2013","
Los Angeles Lakers
",SG,6-6,212,34,Lower Merion High School (Pennsylvania),1996,16
2012-2013,LeBron James,East,"Feb 11, 2013","
Miami Heat
",F,6-8,250,28,St. Vincent St. Mary High School (Ohio),2003,9
2012-2013,Russell Westbrook,West,"Feb 11, 2013","
Oklahoma City Thunder
",G,6-3,200,24,UCLA,2008,4
2012-2013,Nate Robinson,East,"Feb 4, 2013","
Chicago Bulls
",G,5-9,180,28,Washington,2005,7
2012-2013,David Lee,West,"Feb 4, 2013","
Golden State Warriors
",FC,6-9,245,29,Florida,2005,7
2012-2013,Kyrie Irving,East,"Jan 28, 2013","
Cleveland Cavaliers
",G,6-2,195,20,Duke,2011,1
2012-2013,Tony Parker,West,"Jan 28, 2013","
San Antonio Spurs
",G,6-2,185,30,Paris Basket Racing (France),2001,11
2012-2013,Carlos Boozer,East,"Jan 21, 2013","
Chicago Bulls
",PF,6-9,266,31,Duke,2002,10
2012-2013,Kevin Durant,West,"Jan 21, 2013","
Oklahoma City Thunder
",SF,6-10,240,24,Texas,2007,5
2012-2013,Brandon Jennings,East,"Jan 14, 2013","
Milwaukee Bucks
",G,6-1,170,23,Virtus Roma (Italy),2009,3
2012-2013,Kevin Durant,West,"Jan 14, 2013","
Oklahoma City Thunder
",SF,6-10,240,24,Texas,2007,5
2012-2013,Carmelo Anthony,East,"Jan 7, 2013","
New York Knicks
",F,6-8,240,28,Syracuse,2003,9
2012-2013,James Harden,West,"Jan 7, 2013","
Houston Rockets
",SG,6-5,220,23,Arizona State,2009,3
2012-2013,Monta Ellis,East,"Dec 31, 2012","
Milwaukee Bucks
",G,6-3,185,27,Lanier High School (Mississippi),2005,7
2012-2013,Greivis Vasquez,West,"Dec 31, 2012","
New Orleans Hornets
",G,6-6,217,26,Maryland,2010,2
2012-2013,LeBron James,East,"Dec 24, 2012","
Miami Heat
",F,6-8,250,28,St. Vincent St. Mary High School (Ohio),2003,9
2012-2013,Chris Paul,West,"Dec 24, 2012","
Los Angeles Clippers
",PG,6-0,175,27,Wake Forest,2005,7
2012-2013,Paul George,East,"Dec 17, 2012","
Indiana Pacers
",GF,6-9,220,22,Fresno State,2010,2
2012-2013,David Lee,West,"Dec 17, 2012","
Golden State Warriors
",FC,6-9,245,29,Florida,2005,7
2012-2013,Josh Smith,East,"Dec 10, 2012","
Atlanta Hawks
",PF,6-9,225,27,Oak Hill Academy (Virginia),2004,8
2012-2013,Blake Griffin,West,"Dec 10, 2012","
Los Angeles Clippers
",PF,6-10,250,23,Oklahoma,2009,3
2012-2013,Carmelo Anthony,East,"Dec 3, 2012","
New York Knicks
",F,6-8,240,28,Syracuse,2003,9
2012-2013,Kevin Durant,West,"Dec 3, 2012","
Oklahoma City Thunder
",SF,6-10,240,24,Texas,2007,5
2012-2013,Al Horford,East,"Nov 26, 2012","
Atlanta Hawks
",FC,6-10,245,26,Florida,2007,5
2012-2013,Tim Duncan,West,"Nov 26, 2012","
San Antonio Spurs
",FC,6-11,250,36,Wake Forest,1997,15
2012-2013,LeBron James,East,"Nov 19, 2012","
Miami Heat
",F,6-8,250,28,St. Vincent St. Mary High School (Ohio),2003,9
2012-2013,Kevin Durant,West,"Nov 19, 2012","
Oklahoma City Thunder
",SF,6-10,240,24,Texas,2007,5
2012-2013,LeBron James,East,"Nov 12, 2012","
Miami Heat
",F,6-8,250,28,St. Vincent St. Mary High School (Ohio),2003,9
2012-2013,Kenneth Faried,West,"Nov 12, 2012","
Denver Nuggets
",F,6-8,220,23,Morehead State,2011,1
2012-2013,Brandon Jennings,East,"Nov 5, 2012","
Milwaukee Bucks
",G,6-1,170,23,Virtus Roma (Italy),2009,3
2012-2013,James Harden,West,"Nov 5, 2012","
Houston Rockets
",SG,6-5,220,23,Arizona State,2009,3
2011-2012,LeBron James,East,"Apr 23, 2012","
Miami Heat
",F,6-8,250,27,St. Vincent St. Mary High School (Ohio),2003,8
2011-2012,Al Jefferson,West,"Apr 23, 2012","
Utah Jazz
",FC,6-10,289,27,Prentiss High School (Mississippi),2004,7
2011-2012,Kevin Garnett,East,"Apr 16, 2012","
Boston Celtics
",PF,6-11,240,35,Farragut Career Academy (Illinois),1995,16
2011-2012,Andrew Bynum,West,"Apr 16, 2012","
Los Angeles Lakers
",C,7-0,285,24,St. Joseph High School (New Jersey),2005,6
2011-2012,LeBron James,East,"Apr 9, 2012","
Miami Heat
",F,6-8,250,27,St. Vincent St. Mary High School (Ohio),2003,8
2011-2012,Goran Dragic,West,"Apr 9, 2012","
Houston Rockets
",G,6-3,190,25,Union Olimpija (Slovenia),2008,3
2011-2012,Paul Pierce,East,"Apr 2, 2012","
Boston Celtics
",SF,6-7,235,34,Kansas,1998,13
2011-2012,Chris Paul,West,"Apr 2, 2012","
Los Angeles Clippers
",PG,6-0,175,26,Wake Forest,2005,6
2011-2012,Joe Johnson,East,"Mar 26, 2012","
Atlanta Hawks
",SG,6-7,240,30,Arkansas,2001,10
2011-2012,Kevin Durant,West,"Mar 26, 2012","
Oklahoma City Thunder
",SF,6-10,240,23,Texas,2007,4
2011-2012,Drew Gooden,East,"Mar 19, 2012","
Milwaukee Bucks
",FC,6-10,250,30,Kansas,2002,9
2011-2012,Andrew Bynum,West,"Mar 19, 2012","
Los Angeles Lakers
",C,7-0,285,24,St. Joseph High School (New Jersey),2005,6
2011-2012,Ersan Ilyasova,East,"Mar 12, 2012","
Milwaukee Bucks
",F,6-10,235,24,Alpella B.K. (Turkey),2005,4
2011-2012,Monta Ellis,West,"Mar 12, 2012","
Golden State Warriors
",G,6-3,185,26,Lanier High School (Mississippi),2005,6
2011-2012,Derrick Rose,East,"Mar 5, 2012","
Chicago Bulls
",PG,6-3,200,23,Memphis,2008,3
2011-2012,Ty Lawson,West,"Mar 5, 2012","
Denver Nuggets
",PG,5-11,195,24,North Carolina,2009,2
2011-2012,LeBron James,East,"Feb 20, 2012","
Miami Heat
",F,6-8,250,27,St. Vincent St. Mary High School (Ohio),2003,8
2011-2012,Kevin Durant,West,"Feb 20, 2012","
Oklahoma City Thunder
",SF,6-10,240,23,Texas,2007,4
2011-2012,Jeremy Lin,East,"Feb 13, 2012","
New York Knicks
",G,6-3,200,23,Harvard,2010,1
2011-2012,Russell Westbrook,West,"Feb 13, 2012","
Oklahoma City Thunder
",G,6-3,200,23,UCLA,2008,3
2011-2012,Paul Pierce,East,"Feb 6, 2012","
Boston Celtics
",SF,6-7,235,34,Kansas,1998,13
2011-2012,Tony Parker,West,"Feb 6, 2012","
San Antonio Spurs
",G,6-2,185,29,Paris Basket Racing (France),2001,10
2011-2012,LeBron James,East,"Jan 30, 2012","
Miami Heat
",F,6-8,250,27,St. Vincent St. Mary High School (Ohio),2003,8
2011-2012,Russell Westbrook,West,"Jan 30, 2012","
Oklahoma City Thunder
",G,6-3,200,23,UCLA,2008,3
2011-2012,Dwight Howard,East,"Jan 23, 2012","
Orlando Magic
",C,6-11,265,26,Southwest Atlanta Christian Academy (Georgia),2004,7
2011-2012,Marc Gasol,West,"Jan 23, 2012","
Memphis Grizzlies
",C,7-1,255,27,CB Girona (Spain),2007,3
2011-2012,Derrick Rose,East,"Jan 16, 2012","
Chicago Bulls
",PG,6-3,200,23,Memphis,2008,3
2011-2012,Kobe Bryant,West,"Jan 16, 2012","
Los Angeles Lakers
",SG,6-6,212,33,Lower Merion High School (Pennsylvania),1996,15
2011-2012,LeBron James,East,"Jan 9, 2012","
Miami Heat
",F,6-8,250,27,St. Vincent St. Mary High School (Ohio),2003,8
2011-2012,Kobe Bryant,West,"Jan 9, 2012","
Los Angeles Lakers
",SG,6-6,212,33,Lower Merion High School (Pennsylvania),1996,15
2011-2012,LeBron James,East,"Jan 3, 2012","
Miami Heat
",F,6-8,250,27,St. Vincent St. Mary High School (Ohio),2003,8
2011-2012,Kevin Durant,West,"Jan 3, 2012","
Oklahoma City Thunder
",SF,6-10,240,23,Texas,2007,4
2010-2011,Carmelo Anthony,East,"Apr 11, 2011","
New York Knicks
",F,6-8,240,26,Syracuse,2003,7
2010-2011,Kevin Durant,West,"Apr 11, 2011","
Oklahoma City Thunder
",SF,6-10,240,22,Texas,2007,3
2010-2011,Carmelo Anthony,East,"Apr 4, 2011","
New York Knicks
",F,6-8,240,26,Syracuse,2003,7
2010-2011,Zach Randolph,West,"Apr 4, 2011","
Memphis Grizzlies
",PF,6-9,260,29,Michigan State,2001,9
2010-2011,Dwight Howard,East,"Mar 28, 2011","
Orlando Magic
",C,6-11,265,25,Southwest Atlanta Christian Academy (Georgia),2004,6
2010-2011,Kobe Bryant,West,"Mar 28, 2011","
Los Angeles Lakers
",SG,6-6,212,32,Lower Merion High School (Pennsylvania),1996,14
2010-2011,LeBron James,East,"Mar 21, 2011","
Miami Heat
",F,6-8,250,26,St. Vincent St. Mary High School (Ohio),2003,7
2010-2011,Kyle Lowry,West,"Mar 21, 2011","
Houston Rockets
",PG,6-1,196,24,Villanova,2006,4
2010-2011,Dwyane Wade,East,"Mar 14, 2011","
Miami Heat
",SG,6-4,220,29,Marquette,2003,7
2010-2011,Tony Parker,West,"Mar 14, 2011","
San Antonio Spurs
",G,6-2,185,28,Paris Basket Racing (France),2001,9
2010-2011,Paul Pierce,East,"Mar 7, 2011","
Boston Celtics
",SF,6-7,235,33,Kansas,1998,12
2010-2011,Russell Westbrook,West,"Mar 7, 2011","
Oklahoma City Thunder
",G,6-3,200,22,UCLA,2008,2
2010-2011,Dwight Howard,East,"Feb 28, 2011","
Orlando Magic
",C,6-11,265,25,Southwest Atlanta Christian Academy (Georgia),2004,6
2010-2011,Kevin Martin,West,"Feb 28, 2011","
Houston Rockets
",SG,6-7,199,28,Western Carolina,2004,6
2010-2011,Dwight Howard,East,"Feb 14, 2011","
Orlando Magic
",C,6-11,265,25,Southwest Atlanta Christian Academy (Georgia),2004,6
2010-2011,LaMarcus Aldridge,West,"Feb 14, 2011","
Portland Trail Blazers
",FC,6-11,265,25,Texas,2006,4
2010-2011,LeBron James,East,"Feb 7, 2011","
Miami Heat
",F,6-8,250,26,St. Vincent St. Mary High School (Ohio),2003,7
2010-2011,Kevin Durant,West,"Feb 7, 2011","
Oklahoma City Thunder
",SF,6-10,240,22,Texas,2007,3
2010-2011,LeBron James,East,"Jan 31, 2011","
Miami Heat
",F,6-8,250,26,St. Vincent St. Mary High School (Ohio),2003,7
2010-2011,Zach Randolph,West,"Jan 31, 2011","
Memphis Grizzlies
",PF,6-9,260,29,Michigan State,2001,9
2010-2011,Dwight Howard,East,"Jan 24, 2011","
Orlando Magic
",C,6-11,265,25,Southwest Atlanta Christian Academy (Georgia),2004,6
2010-2011,LaMarcus Aldridge,West,"Jan 24, 2011","
Portland Trail Blazers
",FC,6-11,265,25,Texas,2006,4
2010-2011,Derrick Rose,East,"Jan 18, 2011","
Chicago Bulls
",PG,6-3,200,22,Memphis,2008,2
2010-2011,Russell Westbrook,West,"Jan 18, 2011","
Oklahoma City Thunder
",G,6-3,200,22,UCLA,2008,2
2010-2011,LeBron James,East,"Jan 10, 2011","
Miami Heat
",F,6-8,250,26,St. Vincent St. Mary High School (Ohio),2003,7
2010-2011,Zach Randolph,West,"Jan 10, 2011","
Memphis Grizzlies
",PF,6-9,260,29,Michigan State,2001,9
2010-2011,Dwyane Wade,East,"Jan 3, 2011","
Miami Heat
",SG,6-4,220,29,Marquette,2003,7
2010-2011,Chauncey Billups,West,"Jan 3, 2011","
Denver Nuggets
",G,6-3,210,34,Colorado,1997,13
2010-2011,LeBron James,East,"Dec 27, 2010","
Miami Heat
",F,6-8,250,26,St. Vincent St. Mary High School (Ohio),2003,7
2010-2011,Monta Ellis,West,"Dec 27, 2010","
Golden State Warriors
",G,6-3,185,25,Lanier High School (Mississippi),2005,5
2010-2011,Paul Pierce,East,"Dec 20, 2010","
Boston Celtics
",SF,6-7,235,33,Kansas,1998,12
2010-2011,Tony Parker,West,"Dec 20, 2010","
San Antonio Spurs
",G,6-2,185,28,Paris Basket Racing (France),2001,9
2010-2011,Dwyane Wade,East,"Dec 13, 2010","
Miami Heat
",SG,6-4,220,29,Marquette,2003,7
2010-2011,Dirk Nowitzki,West,"Dec 13, 2010","
Dallas Mavericks
",PF,7-0,245,32,DJK Wurzburg (Germany),1998,12
2010-2011,Amar'e Stoudemire,East,"Dec 6, 2010","
New York Knicks
",FC,6-10,245,28,Cypress Creek High School (Florida),2002,8
2010-2011,Russell Westbrook,West,"Dec 6, 2010","
Oklahoma City Thunder
",G,6-3,200,22,UCLA,2008,2
2010-2011,Dwight Howard,East,"Nov 29, 2010","
Orlando Magic
",C,6-11,265,25,Southwest Atlanta Christian Academy (Georgia),2004,6
2010-2011,Dirk Nowitzki,West,"Nov 29, 2010","
Dallas Mavericks
",PF,7-0,245,32,DJK Wurzburg (Germany),1998,12
2010-2011,Amar'e Stoudemire,East,"Nov 22, 2010","
New York Knicks
",FC,6-10,245,28,Cypress Creek High School (Florida),2002,8
2010-2011,Russell Westbrook,West,"Nov 22, 2010","
Oklahoma City Thunder
",G,6-3,200,22,UCLA,2008,2
2010-2011,Derrick Rose,East,"Nov 15, 2010","
Chicago Bulls
",PG,6-3,200,22,Memphis,2008,2
2010-2011,Deron Williams,West,"Nov 15, 2010","
Utah Jazz
",PG,6-3,200,26,Illinois,2005,5
2010-2011,Dwight Howard,East,"Nov 8, 2010","
Orlando Magic
",C,6-11,265,25,Southwest Atlanta Christian Academy (Georgia),2004,6
2010-2011,Chris Paul,West,"Nov 8, 2010","
New Orleans Hornets
",PG,6-0,175,25,Wake Forest,2005,5
2010-2011,Rajon Rondo,East,"Nov 1, 2010","
Boston Celtics
",PG,6-1,180,25,Kentucky,2006,4
2010-2011,Pau Gasol,West,"Nov 1, 2010","
Los Angeles Lakers
",FC,7-0,250,30,Barca (Spain),2001,9
